id,verification_status,topic_review_status,difficulty,is_official
5be65b9f-f77c-405c-95db-dd6f9c9ef7cd,verified,verified_microsoft_source,medium,false
33159e23-745b-4afa-a93a-7ce944ecb034,verified,verified_microsoft_source,medium,false
3969b0db-c914-4e27-ac61-2d0afd7a2ca4,verified,verified_microsoft_source,medium,false
2491b917-5762-4c1b-ba1e-753dcb5aca41,verified,verified_microsoft_source,medium,false
93377951-78a6-438b-887d-f9109cc93348,verified,verified_microsoft_source,medium,false
49ab4fec-e28c-4b01-8d34-1af957708846,verified,verified_microsoft_source,hard,false
10e47a40-ba73-4368-8f50-31d2f1ed51a6,pending_manual_review,pending_microsoft_verification,hard,false
641db440-356e-45e5-b86b-f0fdd55bf346,verified,verified_microsoft_source,medium,false
a773d002-6843-4820-9231-2632d5c10b7d,verified,verified_microsoft_source,medium,false
67ee178d-3a4e-4115-a575-ca5f0b164866,verified,verified_microsoft_source,hard,false
e042b55f-8f2d-45f0-b0a8-86b147ef3936,verified,verified_microsoft_source,medium,false
245763e5-4d89-483a-a2dd-f84f377d3447,pending_manual_review,pending_microsoft_verification,easy,false
2a9907db-d2ad-4c6e-80f0-f39cfe413afd,verified,verified_microsoft_source,medium,false
c117124f-6c5d-4c49-b1c3-3838b1127c66,pending_manual_review,pending_microsoft_verification,medium,false
8b169eb9-0fff-4cd0-a957-bc0ac7e278b6,verified,verified_microsoft_source,medium,false
41aaaf63-e9ec-47ea-b6d1-73b52d072649,pending_manual_review,pending_microsoft_verification,medium,false
e50775fa-dfe8-44fe-8895-6404a4661a02,verified,verified_microsoft_source,hard,false
6a3cdb45-689e-4ec3-84c5-8885f4e3f5b6,verified,verified_microsoft_source,medium,false
17f6fd3b-920d-4434-904a-a8b84fdd9948,pending_manual_review,pending_microsoft_verification,hard,false
44e48a9d-ca79-44e3-9773-937926e333f1,pending_manual_review,pending_microsoft_verification,medium,false
44acbd5e-d470-4a01-a26f-b9f44a904bdb,verified,verified_microsoft_source,medium,false
8ae223ca-75b3-4b4d-a94b-5c0547b02eb0,verified,verified_microsoft_source,easy,false
15705c3e-3d2d-4d2e-b445-d83abf73839b,verified,verified_microsoft_source,medium,false
c68608f2-a7b0-4411-8d05-99ea615063a2,verified,verified_microsoft_source,medium,false
f736cf0f-ebf6-4dd5-94c2-57f082e35219,verified,verified_microsoft_source,hard,false
8d7b1a8e-39bb-4022-a381-d84f7024df9e,verified,verified_microsoft_source,medium,false
15cffc8f-2f68-4090-b91b-bc94617e5e4e,pending_manual_review,pending_microsoft_verification,medium,false
e42103b2-1ce5-42ca-a490-288ba0fa2216,verified,verified_microsoft_source,hard,false
820dfd42-3764-43f0-bdb4-d59e3e7f004e,pending_manual_review,pending_microsoft_verification,hard,false
772852ad-3165-4da3-94ce-0d77e1d046e1,pending_manual_review,pending_microsoft_verification,easy,false
d4b375fd-0a10-4974-a606-d18a55ce53eb,verified,verified_microsoft_source,medium,false
d20d5cc5-fcb8-4abb-ac20-04a1ccdf3c11,verified,verified_microsoft_source,medium,false
630f0f0c-a645-4fe6-b048-bdce13c3f59f,verified,verified_microsoft_source,medium,false
f9e364b0-696d-4a2b-92d9-41f42a13ca7e,pending_manual_review,pending_microsoft_verification,extreme,false
f05d930c-2ca3-4148-be5e-cfbcdf1b58c1,verified,verified_microsoft_source,medium,false
ec877730-8e04-4cd3-9b55-588671d40424,verified,verified_microsoft_source,medium,false
1b790706-252a-4928-bb0d-075f386133c4,pending_manual_review,pending_microsoft_verification,easy,false
24ecdb75-255f-4c6d-8523-8a482b95c7fd,verified,verified_microsoft_source,medium,false
dff2fc17-03ef-4358-9a43-26d5db6ad2c8,pending_manual_review,pending_microsoft_verification,medium,false
bdace670-ded2-480b-a68c-02e15df480ef,verified,verified_microsoft_source,medium,false
fddc638e-e57c-4eaa-b34b-f63321813d6d,verified,verified_microsoft_source,medium,false
d7d7bc23-633d-415d-9ece-c1875230ba34,verified,verified_microsoft_source,medium,false
07f44a7c-474f-4435-87b9-fd6f1abd61d7,verified,verified_microsoft_source,hard,false
702d0298-d14b-4408-986a-92d043a9ce3c,verified,verified_microsoft_source,medium,false
42fac20c-d4af-45a5-adf0-37fbf16a7145,verified,verified_microsoft_source,hard,false
2d8b01a6-6d47-4fa8-aacd-17386098b7e5,pending_manual_review,pending_microsoft_verification,medium,false
3478f2a6-8bc2-41c4-bf15-ed2b1882db23,verified,verified_microsoft_source,hard,false
34efc2d4-3858-4925-9d28-e3a477f0f37e,pending_manual_review,pending_microsoft_verification,medium,false
38961cbd-6ba0-4ea6-a37e-e4c544703532,verified,verified_microsoft_source,medium,false
1099b249-a0f8-416a-89a2-ce080f60523c,verified,verified_microsoft_source,easy,false
